# saved 2026-06-14T20:08:48
# range_label=100mT_linearized
# --- characterization sweep ---
# verify(linearized) step_mm=0.100 window=4.0-14.0
Distance_mm,Reading_mV,SD_mV
0.000,247,2.18
0.100,247,2.28
0.200,247,3.58
0.300,247,2.42
0.400,247,2.42
0.500,247,2.52
0.600,247,2.62
0.700,247,2.66
0.800,247,2.34
0.900,247,4.34
1.000,246,2.63
1.100,247,2.47
1.200,247,2.48
1.300,247,3.05
1.400,247,2.16
1.500,247,2.34
1.600,247,2.28
1.700,247,2.54
1.800,247,2.14
1.900,247,2.24
2.000,247,2.17
2.100,247,2.51
2.200,247,2.48
2.300,247,2.37
2.400,247,2.30
2.500,248,7.28
2.600,247,3.10
2.700,247,2.76
2.800,247,2.26
2.900,247,2.67
3.000,248,6.93
3.100,246,2.60
3.200,247,2.31
3.300,247,2.47
3.400,247,2.26
3.500,247,2.36
3.600,247,2.74
3.700,247,2.62
3.800,247,4.52
3.900,247,2.54
4.000,300,2.97
4.100,399,3.58
4.200,489,4.08
4.300,460,2.80
4.400,432,4.44
4.500,427,8.60
4.600,479,3.46
4.700,527,3.39
4.800,575,2.34
4.900,594,3.33
5.000,612,2.76
5.100,630,6.99
5.200,660,3.38
5.300,688,3.61
5.400,716,3.01
5.500,743,10.24
5.600,769,4.75
5.700,793,3.48
5.800,818,5.16
5.900,842,5.42
6.000,871,7.05
6.100,898,7.89
6.200,926,3.33
6.300,951,3.64
6.400,979,9.68
6.500,1010,3.70
6.600,1035,3.77
6.700,1058,3.65
6.800,1083,3.55
6.900,1110,7.76
7.000,1138,4.01
7.100,1165,3.55
7.200,1192,3.79
7.300,1220,4.03
7.400,1247,3.31
7.500,1275,4.07
7.600,1303,3.71
7.700,1328,4.02
7.800,1351,3.16
7.900,1375,3.50
8.000,1399,3.32
8.100,1429,4.17
8.200,1459,3.43
8.300,1487,4.27
8.400,1513,4.07
8.500,1540,4.79
8.600,1565,3.63
8.700,1588,4.39
8.800,1612,3.48
8.900,1635,4.53
9.000,1664,3.49
9.100,1692,4.31
9.200,1721,3.95
9.300,1751,6.50
9.400,1776,3.92
9.500,1803,4.31
9.600,1832,4.59
9.700,1857,4.39
9.800,1877,4.88
