# saved 2026-06-14T21:21:03
# range_label=12mT_linearized
# --- characterization sweep ---
# verify(linearized) step_mm=0.100 window=11.0-24.0
Distance_mm,Reading_mV,SD_mV
29.500,3150,0.00
29.600,3150,0.00
29.700,3150,2.33
29.800,3150,0.00
29.900,3150,0.00
30.000,3150,0.00
30.100,3150,0.00
30.200,3150,0.00
30.300,3150,0.00
30.400,3150,0.00
30.500,3150,0.00
30.600,3150,0.00
30.700,3150,0.00
30.800,3150,0.00
30.900,3150,0.00
31.000,3150,0.00
31.100,3150,0.00
31.200,3150,0.00
31.300,3150,0.00
31.400,3150,0.00
31.500,3150,0.00
31.600,3150,0.00
31.700,3150,0.00
31.800,3150,0.00
31.900,3150,0.00
32.000,3150,0.00
32.100,3150,0.00
32.200,3150,0.00
32.300,3150,0.00
32.400,3150,0.00
32.500,3150,0.00
32.600,3150,0.00
32.700,3150,0.00
32.800,3150,0.00
32.900,3150,0.00
33.000,3150,0.00
33.100,3150,0.00
33.200,3150,0.00
33.300,3150,0.00
33.400,3150,0.00
33.500,3150,0.00
33.600,3150,0.00
33.700,3150,0.00
33.800,3150,0.00
33.900,3150,0.00
34.000,3150,0.00
34.100,3150,0.00
34.200,3150,0.00
34.300,3150,0.00
34.400,3150,0.00
34.500,3150,0.00
34.600,3150,0.00
34.700,3150,0.00
34.800,3150,0.00
34.900,3150,0.00
35.000,3150,0.00
35.100,3150,0.00
35.200,3150,0.00
35.300,3150,0.00
35.400,3150,0.00
35.500,3150,0.00
35.600,3150,0.00
35.700,3150,0.00
35.800,3150,0.00
35.900,3150,0.00
36.000,3150,0.00
36.100,3150,0.00
36.200,3150,0.00
36.300,3150,0.00
36.400,3150,0.00
36.500,3150,0.00
36.600,3150,0.00
36.700,3150,0.00
36.800,3150,0.00
36.900,3150,0.00
37.000,3150,0.00
37.100,3150,0.00
37.200,3150,0.00
37.300,3150,0.00
37.400,3150,0.00
37.500,3150,0.00
37.600,3150,0.00
37.700,3150,0.00
37.800,3150,0.00
37.900,3150,0.00
38.000,3150,0.00
38.100,3150,0.00
38.200,3150,0.00
38.300,3150,0.00
38.400,3150,0.00
38.500,3150,0.00
38.600,3150,0.00
38.700,3150,2.19
38.800,3150,0.00
38.900,3150,0.00
39.000,3150,0.00
39.100,3150,0.00
39.200,3150,0.00
39.300,3150,0.00
39.400,3150,0.00
39.500,3150,0.00
39.600,3150,0.00
39.700,3150,0.00
39.800,3150,0.00
39.900,3150,0.00
40.000,3150,0.00
40.100,3150,0.00
40.200,3150,0.00
40.300,3150,0.00
40.400,3150,0.00
40.500,3150,0.00
40.600,3150,0.00
40.700,3150,0.00
40.800,3150,0.00
40.900,3150,0.00
41.000,3150,0.00
41.100,3150,0.00
41.200,3150,0.00
41.300,3150,0.00
41.400,3150,0.00
41.500,3150,0.00
41.600,3150,0.00
41.700,3150,0.00
41.800,3150,0.00
41.900,3150,0.00
42.000,3150,0.00
42.100,3150,0.00
42.200,3150,0.00
42.300,3150,0.00
42.400,3150,0.00
42.500,3150,0.00
42.600,3150,0.00
42.700,3150,0.00
42.800,3150,0.00
42.900,3150,0.00
43.000,3150,0.28
43.100,3150,0.00
43.200,3150,0.00
43.300,3150,0.00
43.400,3150,0.00
43.500,3150,0.00
43.600,3150,0.00
43.700,3150,0.00
43.800,3150,0.00
43.900,3150,0.00
44.000,3150,0.63
44.100,3150,0.00
44.200,3150,0.00
44.300,3150,0.00
44.400,3150,0.00
44.500,3150,0.00
44.600,3150,0.00
44.700,3150,0.00
44.800,3150,0.00
44.900,3150,0.00
45.000,3150,0.00
45.100,3150,0.00
45.200,3150,0.00
45.300,3150,0.00
45.400,3150,0.00
45.500,3150,0.00
45.600,3150,0.00
45.700,3150,0.00
45.800,3150,0.00
45.900,3150,0.00
46.000,3150,0.00
46.100,3150,0.00
46.200,3150,0.00
46.300,3150,0.00
46.400,3150,0.00
46.500,3150,0.00
46.600,3150,0.00
46.700,3150,0.00
46.800,3150,0.00
46.900,3150,0.00
47.000,3150,0.00
47.100,3150,0.00
47.200,3150,0.00
47.300,3150,0.00
47.400,3150,0.00
47.500,3150,0.00
47.600,3150,0.00
47.700,3150,2.05
47.800,3150,0.00
47.900,3150,0.00
48.000,3150,0.00
48.100,3150,0.00
48.200,3150,0.00
48.300,3150,0.00
48.400,3150,0.00
48.500,3150,0.00
48.600,3150,0.00
48.700,3150,0.00
48.800,3150,0.00
48.900,3150,0.00
49.000,3150,0.00
49.100,3150,0.00
49.200,3150,0.00
49.300,3150,0.00
49.400,3150,0.00
49.500,3150,0.00
49.600,3150,0.00
