# saved 2026-06-13T22:05:41
# range_label=100mT
# --- characterization sweep ---
# step_mm=0.100  points=1001  avg_samples=200  settle_ms=100
Distance_mm,Reading_mV,SD_mV
0.000,2327,4.60
0.100,2307,3.81
0.200,2290,6.37
0.300,2272,4.65
0.400,2246,7.00
0.500,2236,4.71
0.600,2220,5.35
0.700,2206,3.96
0.800,2194,4.30
0.900,2180,4.69
1.000,2167,5.71
1.100,2152,4.23
1.200,2138,4.30
1.300,2127,3.51
1.400,2115,4.70
1.500,2103,4.29
1.600,2092,4.37
1.700,2081,4.53
1.800,2071,4.82
1.900,2061,4.66
2.000,2050,4.19
2.100,2041,4.71
2.200,2032,4.34
2.300,2023,3.76
2.400,2015,4.43
2.500,2007,4.92
2.600,1998,4.26
2.700,1992,3.82
2.800,1986,4.33
2.900,1980,4.56
3.000,1972,10.08
3.100,1965,4.76
3.200,1959,4.83
3.300,1952,4.80
3.400,1946,4.20
3.500,1939,4.64
3.600,1934,4.30
3.700,1928,4.29
3.800,1923,4.21
3.900,1917,4.71
4.000,1912,3.85
4.100,1908,4.57
4.200,1903,4.80
4.300,1896,4.46
4.400,1892,5.35
4.500,1889,4.51
4.600,1885,4.52
4.700,1880,4.34
4.800,1878,3.73
4.900,1874,4.28
5.000,1871,4.92
5.100,1866,3.69
5.200,1862,3.76
5.300,1858,4.26
5.400,1857,4.65
5.500,1853,4.18
5.600,1849,4.34
5.700,1846,4.83
5.800,1842,4.40
5.900,1839,3.95
6.000,1837,3.45
6.100,1833,4.06
6.200,1830,5.46
6.300,1828,6.16
6.400,1823,6.56
6.500,1819,6.09
6.600,1816,5.03
6.700,1814,5.55
6.800,1812,3.83
6.900,1810,3.52
7.000,1808,3.79
7.100,1806,4.26
7.200,1804,4.49
7.300,1802,4.47
7.400,1800,4.85
7.500,1797,4.90
7.600,1795,4.43
7.700,1793,4.62
7.800,1791,4.71
7.900,1788,3.95
8.000,1787,3.88
8.100,1786,7.29
8.200,1785,3.48
8.300,1783,4.19
8.400,1780,10.67
8.500,1780,3.72
