# saved 2026-06-13T21:24:08
# range_label=3mT
# --- characterization sweep ---
# step_mm=0.100  points=1001  avg_samples=200  settle_ms=100
Distance_mm,Reading_mV,SD_mV
28.200,1996,5.31
28.300,1994,7.41
28.400,1992,5.45
28.500,1992,4.56
28.600,1990,5.66
28.700,1987,5.33
28.800,1985,5.29
28.900,1982,8.57
29.000,1981,7.53
29.100,1979,5.37
29.200,1976,6.57
29.300,1976,5.85
29.400,1975,5.65
29.500,1972,5.74
29.600,1970,4.97
29.700,1968,8.89
29.800,1968,6.47
29.900,1965,5.40
30.000,1964,5.28
30.100,1962,5.97
30.200,1961,5.47
30.300,1959,5.68
30.400,1957,6.66
30.500,1957,6.10
30.600,1954,6.03
30.700,1952,6.79
30.800,1951,5.92
30.900,1949,5.41
31.000,1947,5.46
31.100,1945,5.42
31.200,1944,4.81
31.300,1942,6.92
31.400,1941,5.67
31.500,1941,5.88
31.600,1938,8.75
31.700,1937,5.47
31.800,1936,5.94
31.900,1936,5.04
32.000,1934,5.51
32.100,1933,5.02
32.200,1930,5.55
32.300,1929,5.21
32.400,1928,5.43
32.500,1927,5.59
32.600,1925,5.73
32.700,1925,5.51
32.800,1922,7.90
32.900,1921,5.32
33.000,1921,6.13
33.100,1919,5.16
33.200,1918,5.21
33.300,1917,5.08
33.400,1916,5.20
33.500,1915,5.53
33.600,1913,5.39
33.700,1912,5.77
33.800,1912,5.22
33.900,1910,5.22
34.000,1910,5.48
34.100,1908,5.88
34.200,1907,5.98
34.300,1906,6.20
34.400,1904,12.52
34.500,1903,6.22
34.600,1901,6.14
34.700,1902,6.21
34.800,1900,5.99
34.900,1899,6.11
35.000,1898,6.84
35.100,1896,9.91
35.200,1896,5.14
35.300,1895,5.51
35.400,1894,5.77
35.500,1893,5.11
35.600,1893,5.67
35.700,1892,6.11
35.800,1891,5.03
35.900,1890,5.72
36.000,1888,5.14
36.100,1887,4.89
36.200,1888,4.85
36.300,1887,5.19
36.400,1885,5.46
36.500,1885,4.97
36.600,1884,5.75
36.700,1884,5.37
36.800,1882,5.62
36.900,1881,5.18
37.000,1880,5.06
37.100,1879,4.94
37.200,1879,4.96
37.300,1878,4.52
37.400,1877,4.81
37.500,1877,6.46
37.600,1876,4.67
37.700,1875,5.29
37.800,1875,4.88
37.900,1874,5.88
38.000,1874,5.19
38.100,1873,5.19
38.200,1872,5.84
38.300,1871,5.47
38.400,1871,5.17
38.500,1870,5.14
38.600,1870,5.38
38.700,1868,5.45
38.800,1867,5.45
38.900,1866,5.43
39.000,1867,5.24
39.100,1866,5.20
39.200,1866,4.96
39.300,1864,5.00
39.400,1864,7.48
39.500,1863,5.25
39.600,1864,4.87
39.700,1861,5.20
39.800,1861,4.79
39.900,1860,4.82
40.000,1859,5.15
40.100,1859,4.95
40.200,1858,5.13
40.300,1858,7.89
40.400,1856,6.50
40.500,1857,5.78
40.600,1856,5.91
40.700,1855,5.39
40.800,1855,5.69
40.900,1854,5.28
41.000,1854,6.35
41.100,1853,6.02
41.200,1852,5.54
41.300,1851,5.50
41.400,1851,5.54
41.500,1850,5.36
41.600,1849,5.86
41.700,1849,5.78
41.800,1849,6.45
41.900,1848,5.96
42.000,1847,5.93
42.100,1847,6.03
42.200,1846,6.33
42.300,1846,7.41
42.400,1845,6.37
42.500,1845,5.26
42.600,1844,5.37
42.700,1843,6.56
42.800,1843,5.35
42.900,1842,7.31
43.000,1842,5.78
43.100,1841,5.38
43.200,1841,7.47
43.300,1841,5.12
43.400,1840,7.38
43.500,1839,4.76
43.600,1840,5.07
43.700,1839,5.69
43.800,1837,5.41
43.900,1838,4.77
44.000,1838,5.79
44.100,1837,5.52
44.200,1837,4.41
44.300,1836,7.75
44.400,1835,4.91
44.500,1836,5.31
44.600,1835,5.03
44.700,1834,5.25
44.800,1834,5.09
44.900,1834,5.07
45.000,1833,7.09
45.100,1832,6.29
45.200,1832,5.43
45.300,1831,6.68
45.400,1832,6.32
45.500,1830,6.42
45.600,1830,6.08
45.700,1829,7.05
45.800,1828,6.95
45.900,1828,6.81
46.000,1827,6.56
46.100,1827,7.29
46.200,1826,6.85
46.300,1825,8.32
46.400,1826,6.83
46.500,1825,7.10
46.600,1825,9.23
46.700,1824,6.98
46.800,1823,7.17
46.900,1823,7.07
47.000,1822,7.84
47.100,1822,6.86
47.200,1821,6.58
47.300,1821,10.60
47.400,1821,6.89
47.500,1821,6.47
47.600,1819,7.11
47.700,1819,6.63
47.800,1819,7.76
47.900,1818,5.99
48.000,1819,6.45
48.100,1818,6.69
48.200,1818,6.73
48.300,1817,7.17
48.400,1817,5.96
48.500,1816,8.57
48.600,1817,6.00
48.700,1816,5.99
48.800,1815,5.67
48.900,1815,5.83
49.000,1814,5.53
49.100,1814,4.97
49.200,1814,8.97
49.300,1814,5.44
49.400,1813,5.25
49.500,1813,5.63
49.600,1812,5.31
49.700,1813,5.60
