# saved 2026-06-13T22:12:01
# range_label=200mT
# --- characterization sweep ---
# step_mm=0.100  points=1001  avg_samples=200  settle_ms=100
Distance_mm,Reading_mV,SD_mV
0.000,1999,5.14
0.100,1991,4.20
0.200,1982,4.07
0.300,1974,4.48
0.400,1967,5.01
0.500,1960,4.30
0.600,1952,4.25
0.700,1945,5.91
0.800,1938,8.50
0.900,1932,4.44
1.000,1925,5.29
1.100,1918,3.95
1.200,1913,5.59
1.300,1907,4.71
1.400,1901,4.91
1.500,1895,6.06
1.600,1890,4.48
1.700,1884,4.33
1.800,1880,4.29
1.900,1876,3.90
2.000,1871,5.56
2.100,1865,4.53
2.200,1862,4.81
2.300,1858,6.94
2.400,1854,4.75
2.500,1850,4.87
2.600,1846,4.64
2.700,1842,4.42
2.800,1838,6.07
2.900,1836,3.94
3.000,1832,4.82
3.100,1828,5.91
3.200,1823,6.18
3.300,1818,7.64
3.400,1816,4.89
3.500,1812,4.05
3.600,1810,2.95
3.700,1807,3.75
3.800,1805,4.37
3.900,1802,4.50
4.000,1800,4.58
4.100,1797,4.54
4.200,1795,4.76
4.300,1792,4.65
4.400,1790,4.69
4.500,1788,4.27
4.600,1786,4.36
4.700,1783,6.04
4.800,1782,3.40
4.900,1781,3.94
5.000,1779,5.12
5.100,1776,4.40
5.200,1775,4.75
5.300,1773,4.38
5.400,1772,4.42
5.500,1770,8.05
5.600,1769,4.07
5.700,1768,4.25
5.800,1766,4.83
5.900,1764,4.26
6.000,1762,4.07
6.100,1762,4.28
6.200,1760,3.67
6.300,1758,6.40
6.400,1758,3.33
6.500,1756,3.98
6.600,1756,5.30
6.700,1755,4.14
6.800,1753,4.29
6.900,1753,4.27
7.000,1751,4.72
7.100,1750,4.14
7.200,1750,4.29
7.300,1748,4.47
7.400,1747,4.67
7.500,1746,4.36
7.600,1745,5.34
7.700,1744,4.79
7.800,1744,4.58
7.900,1742,4.54
8.000,1741,4.55
8.100,1740,4.84
8.200,1739,5.02
8.300,1738,5.70
8.400,1738,4.48
8.500,1736,4.92
8.600,1737,4.41
8.700,1736,4.51
8.800,1735,4.17
8.900,1735,4.60
9.000,1734,3.81
9.100,1733,3.70
9.200,1732,3.94
9.300,1732,3.39
9.400,1732,4.10
9.500,1731,3.97
9.600,1730,3.59
9.700,1730,3.65
9.800,1729,9.61
9.900,1729,4.61
10.000,1728,6.04
10.100,1728,3.87
10.200,1727,3.97
10.300,1727,4.70
10.400,1726,4.36
10.500,1726,4.27
10.600,1726,5.72
10.700,1724,4.32
10.800,1724,5.87
10.900,1724,4.56
11.000,1724,4.81
11.100,1724,4.50
11.200,1723,4.51
11.300,1723,4.28
11.400,1722,4.24
11.500,1722,4.37
11.600,1722,4.18
11.700,1720,4.25
11.800,1721,3.77
11.900,1720,4.08
12.000,1720,3.74
12.100,1720,4.33
12.200,1719,4.46
12.300,1719,3.61
12.400,1719,4.23
12.500,1718,4.40
12.600,1718,4.26
12.700,1718,3.81
12.800,1718,4.19
12.900,1717,6.16
13.000,1717,4.48
13.100,1717,4.30
13.200,1715,6.06
13.300,1717,4.20
13.400,1716,4.30
13.500,1716,4.57
13.600,1715,5.82
13.700,1715,3.93
13.800,1714,5.10
13.900,1714,7.16
14.000,1714,5.09
14.100,1713,4.20
14.200,1713,4.52
14.300,1712,5.43
14.400,1713,4.39
14.500,1713,5.11
14.600,1712,4.38
14.700,1712,4.40
14.800,1712,4.62
14.900,1711,4.17
15.000,1711,7.09
15.100,1712,6.84
15.200,1711,5.03
15.300,1711,4.43
15.400,1711,4.46
15.500,1711,4.20
15.600,1710,5.01
15.700,1709,4.69
15.800,1710,4.38
15.900,1709,4.10
16.000,1710,4.00
16.100,1709,4.04
16.200,1710,4.58
16.300,1709,4.32
16.400,1709,4.69
16.500,1709,4.86
16.600,1709,3.88
16.700,1710,6.67
16.800,1709,4.11
16.900,1708,4.02
17.000,1707,8.90
17.100,1708,6.47
17.200,1708,4.11
17.300,1708,4.00
17.400,1707,4.01
17.500,1708,4.12
17.600,1707,4.13
17.700,1707,4.30
17.800,1708,3.91
17.900,1708,3.92
18.000,1707,4.07
18.100,1706,7.36
18.200,1707,4.24
18.300,1707,4.48
18.400,1707,4.41
18.500,1707,3.53
18.600,1707,3.54
18.700,1705,6.90
18.800,1706,3.30
18.900,1706,3.15
19.000,1706,5.35
19.100,1706,3.58
19.200,1706,3.42
19.300,1706,3.02
19.400,1705,8.70
19.500,1706,3.75
19.600,1706,3.79
19.700,1705,8.28
19.800,1705,3.67
19.900,1705,3.40
20.000,1703,9.51
20.100,1706,5.06
20.200,1706,4.14
20.300,1705,3.54
20.400,1705,4.33
20.500,1704,7.09
20.600,1704,3.57
20.700,1705,3.56
20.800,1705,3.18
20.900,1705,3.40
21.000,1705,3.63
21.100,1705,3.91
21.200,1705,3.71
21.300,1705,3.58
21.400,1704,3.61
21.500,1704,3.96
21.600,1704,3.22
21.700,1704,4.07
21.800,1704,3.96
21.900,1704,4.09
22.000,1704,3.90
22.100,1705,3.85
22.200,1704,3.55
22.300,1705,4.38
22.400,1704,3.54
22.500,1703,3.77
22.600,1703,4.67
22.700,1704,5.81
22.800,1703,4.17
22.900,1703,4.55
23.000,1703,3.48
23.100,1703,3.83
