# saved 2026-06-14T22:22:04
# range_label=3mT_linearized
# --- characterization sweep ---
# verify(linearized) step_mm=0.100 window=20.0-38.0
Distance_mm,Reading_mV,SD_mV
0.000,363,2.11
0.100,363,2.61
0.200,363,2.94
0.300,363,1.96
0.400,364,2.78
0.500,364,2.05
0.600,364,1.94
0.700,364,1.80
0.800,364,1.89
0.900,364,2.18
1.000,364,2.51
1.100,364,1.96
1.200,364,1.85
1.300,363,7.56
1.400,364,2.01
1.500,364,7.56
1.600,364,1.97
1.700,364,3.24
1.800,364,2.10
1.900,364,2.01
2.000,364,1.88
2.100,364,2.23
2.200,364,2.04
2.300,364,4.36
2.400,364,1.96
2.500,364,2.14
2.600,364,1.80
2.700,364,2.81
2.800,364,1.65
2.900,363,6.59
3.000,364,1.87
3.100,364,2.35
3.200,364,1.81
3.300,364,1.82
3.400,364,3.41
3.500,364,2.52
3.600,364,1.88
3.700,364,1.97
3.800,364,3.30
3.900,363,3.31
4.000,363,6.46
4.100,364,2.52
4.200,364,1.87
4.300,364,2.25
4.400,364,1.80
4.500,364,2.56
4.600,364,2.23
4.700,364,2.05
4.800,364,2.47
4.900,364,2.39
5.000,363,6.28
5.100,364,1.69
5.200,364,4.95
5.300,364,2.64
5.400,364,1.71
5.500,364,6.22
5.600,364,3.43
5.700,364,1.97
5.800,364,2.67
5.900,364,2.29
6.000,364,2.09
6.100,364,1.81
6.200,364,1.88
6.300,364,2.28
6.400,364,4.21
6.500,364,2.38
6.600,364,2.02
6.700,364,2.81
6.800,364,2.05
6.900,364,2.27
7.000,364,1.76
7.100,364,1.98
7.200,364,2.05
7.300,364,1.86
7.400,364,2.04
7.500,364,2.06
7.600,364,2.65
7.700,364,1.94
7.800,363,4.38
7.900,364,1.85
8.000,364,2.28
8.100,364,2.06
8.200,364,4.02
8.300,364,2.27
8.400,364,5.05
8.500,364,1.96
8.600,364,1.90
8.700,364,2.65
8.800,364,2.30
8.900,364,2.55
9.000,364,2.01
9.100,364,2.00
9.200,364,4.05
9.300,364,2.25
9.400,364,1.91
9.500,364,1.83
9.600,364,2.04
9.700,364,2.06
9.800,364,2.51
9.900,364,6.98
10.000,364,1.90
10.100,364,3.39
10.200,364,2.08
10.300,364,3.14
10.400,364,3.96
10.500,364,2.27
10.600,364,2.16
10.700,364,4.70
10.800,364,2.04
10.900,364,1.94
11.000,364,2.29
11.100,364,1.83
11.200,364,1.85
11.300,364,1.95
11.400,363,3.49
11.500,364,1.73
11.600,364,2.00
11.700,364,1.85
11.800,364,3.23
11.900,363,5.37
12.000,364,2.09
12.100,364,2.35
12.200,363,5.14
12.300,364,1.86
12.400,364,6.54
12.500,364,2.78
12.600,364,2.45
12.700,364,2.44
12.800,364,4.21
12.900,364,6.71
13.000,364,2.23
13.100,364,2.25
13.200,363,3.28
13.300,363,6.82
13.400,364,1.82
13.500,364,1.79
13.600,364,2.51
13.700,364,1.90
13.800,363,2.95
13.900,364,1.88
14.000,364,2.84
14.100,364,2.16
14.200,364,2.22
14.300,364,3.39
14.400,364,1.84
14.500,363,7.90
14.600,363,4.01
14.700,364,1.79
14.800,364,2.06
14.900,363,7.61
15.000,364,1.77
15.100,364,2.18
15.200,364,7.04
15.300,364,2.03
15.400,364,1.96
15.500,363,4.15
15.600,364,2.09
15.700,364,1.91
15.800,364,2.09
15.900,364,2.32
16.000,364,2.00
16.100,364,1.81
16.200,364,2.76
16.300,364,2.75
16.400,364,1.62
16.500,364,1.80
16.600,364,2.38
16.700,364,3.87
16.800,364,2.25
16.900,364,2.06
17.000,364,2.17
17.100,364,2.01
17.200,363,7.54
17.300,364,1.87
17.400,363,6.58
17.500,364,2.16
17.600,363,2.64
17.700,364,1.92
17.800,364,2.03
17.900,364,1.96
18.000,364,2.20
18.100,364,7.73
18.200,364,3.32
18.300,364,2.01
18.400,364,1.91
18.500,364,2.01
18.600,364,1.88
18.700,364,2.05
18.800,363,3.28
18.900,364,1.84
19.000,364,1.76
19.100,364,1.59
19.200,364,2.35
19.300,364,2.62
19.400,364,2.20
19.500,364,1.69
19.600,364,2.00
19.700,364,1.94
19.800,364,2.00
19.900,364,1.70
20.000,364,2.96
20.100,364,2.22
20.200,364,2.00
20.300,364,2.26
20.400,363,3.52
20.500,364,1.82
20.600,364,2.73
20.700,364,1.90
20.800,366,4.02
20.900,376,8.89
21.000,393,9.33
21.100,410,8.88
21.200,425,9.72
21.300,440,9.60
21.400,455,8.55
21.500,468,11.82
21.600,483,11.02
21.700,497,9.02
21.800,507,8.21
21.900,520,9.64
22.000,534,9.67
22.100,547,10.45
22.200,561,12.62
22.300,578,11.27
22.400,592,11.08
22.500,604,9.58
22.600,614,9.47
22.700,628,13.39
22.800,639,10.09
22.900,655,10.16
23.000,667,10.79
23.100,682,9.82
23.200,696,10.48
23.300,706,13.35
23.400,721,10.37
23.500,732,10.17
23.600,745,11.20
23.700,754,10.65
23.800,764,9.87
23.900,774,10.98
24.000,785,11.53
24.100,798,11.49
24.200,807,11.64
24.300,819,10.41
24.400,829,10.68
24.500,839,10.69
24.600,849,13.53
24.700,857,12.83
24.800,868,11.13
24.900,878,11.44
25.000,894,14.54
25.100,906,16.93
25.200,923,19.70
25.300,936,18.81
25.400,955,17.99
25.500,972,19.26
25.600,987,18.94
25.700,995,17.90
25.800,1009,18.30
25.900,1025,17.15
26.000,1037,19.94
26.100,1048,17.48
26.200,1066,18.65
26.300,1080,20.01
26.400,1093,18.79
26.500,1105,18.83
26.600,1117,20.09
26.700,1129,18.33
26.800,1144,20.16
26.900,1156,19.84
27.000,1171,19.88
27.100,1185,19.64
27.200,1198,19.47
27.300,1211,18.79
27.400,1224,19.62
27.500,1238,20.16
27.600,1247,20.83
27.700,1259,18.45
27.800,1267,20.78
27.900,1280,20.29
28.000,1289,19.03
28.100,1301,21.56
28.200,1311,20.17
28.300,1325,24.55
28.400,1338,28.11
28.500,1352,27.72
28.600,1365,28.54
28.700,1379,26.40
28.800,1394,30.99
28.900,1408,30.38
29.000,1426,31.18
29.100,1443,31.34
29.200,1458,28.35
29.300,1467,30.32
29.400,1487,28.56
29.500,1500,28.94
29.600,1511,28.13
29.700,1529,29.40
29.800,1541,29.52
29.900,1553,29.75
30.000,1567,32.66
30.100,1577,31.41
30.200,1592,32.54
30.300,1605,31.97
30.400,1620,32.31
30.500,1631,32.66
30.600,1647,33.04
30.700,1660,31.88
30.800,1671,32.36
30.900,1683,30.42
31.000,1701,32.57
31.100,1712,31.73
31.200,1726,32.39
31.300,1740,28.50
31.400,1747,32.85
31.500,1760,29.17
31.600,1772,30.68
31.700,1781,29.80
31.800,1795,28.04
31.900,1801,28.39
32.000,1812,28.76
32.100,1823,29.44
32.200,1830,27.86
32.300,1844,27.54
32.400,1853,29.54
32.500,1862,26.70
32.600,1871,28.04
32.700,1881,28.16
32.800,1887,27.52
32.900,1897,27.54
33.000,1905,27.40
33.100,1918,29.03
33.200,1926,28.69
33.300,1933,25.85
33.400,1941,26.21
33.500,1950,28.47
33.600,1963,33.49
33.700,1969,33.28
33.800,1978,38.20
33.900,1984,34.31
34.000,1998,34.90
34.100,2016,36.74
34.200,2025,37.79
34.300,2037,38.49
34.400,2046,40.31
34.500,2056,42.28
34.600,2063,40.67
34.700,2081,38.36
34.800,2088,42.20
34.900,2099,40.16
35.000,2109,41.81
35.100,2124,46.31
35.200,2134,41.02
35.300,2147,40.30
35.400,2153,38.46
35.500,2162,41.56
35.600,2176,39.75
35.700,2185,37.26
35.800,2193,42.28
35.900,2207,41.57
36.000,2215,39.93
36.100,2231,45.11
36.200,2234,42.34
36.300,2243,43.60
36.400,2260,48.44
36.500,2272,48.04
