# saved 2026-06-13T21:49:30
# range_label=25mT
# --- characterization sweep ---
# step_mm=0.100  points=1001  avg_samples=200  settle_ms=100
Distance_mm,Reading_mV,SD_mV
0.000,2829,3.72
0.100,2829,3.70
0.200,2828,3.69
0.300,2829,5.81
0.400,2829,3.88
0.500,2829,4.17
0.600,2829,4.02
0.700,2829,5.52
0.800,2829,3.79
0.900,2829,4.12
1.000,2829,4.04
1.100,2829,3.95
1.200,2829,3.83
1.300,2829,4.30
1.400,2829,4.00
1.500,2829,4.09
1.600,2829,3.85
1.700,2830,4.01
1.800,2829,3.90
1.900,2830,3.90
2.000,2829,4.02
2.100,2829,3.97
2.200,2829,4.20
2.300,2829,4.11
2.400,2829,4.13
2.500,2829,4.05
2.600,2829,3.66
2.700,2829,4.28
2.800,2829,4.08
2.900,2829,4.14
3.000,2825,3.87
3.100,2800,4.14
3.200,2774,6.08
3.300,2747,6.82
3.400,2721,3.74
3.500,2698,4.09
3.600,2676,4.12
3.700,2653,8.31
3.800,2630,5.49
3.900,2609,4.73
4.000,2589,3.83
4.100,2568,4.10
4.200,2548,4.43
4.300,2534,3.04
4.400,2518,4.45
4.500,2503,4.74
4.600,2485,4.94
4.700,2467,3.95
4.800,2449,4.46
4.900,2435,5.33
5.000,2417,4.68
5.100,2402,4.97
5.200,2387,4.11
5.300,2370,5.67
5.400,2354,4.51
5.500,2339,4.20
5.600,2325,4.49
5.700,2311,3.79
5.800,2298,4.16
5.900,2286,3.84
6.000,2273,6.73
6.100,2252,10.76
6.200,2242,1.78
6.300,2232,3.86
6.400,2221,5.86
6.500,2211,5.16
6.600,2202,4.03
6.700,2192,4.30
6.800,2182,5.19
6.900,2174,5.58
7.000,2165,4.95
7.100,2155,4.68
7.200,2147,4.23
7.300,2138,4.49
7.400,2128,3.89
7.500,2120,4.71
7.600,2112,4.46
7.700,2103,4.15
7.800,2096,4.05
7.900,2089,4.17
8.000,2082,4.63
8.100,2075,4.03
8.200,2067,11.03
8.300,2061,6.92
8.400,2053,4.58
8.500,2048,3.69
8.600,2041,4.55
8.700,2036,4.32
8.800,2030,5.00
8.900,2025,4.50
9.000,2019,4.96
9.100,2014,5.89
9.200,2009,4.49
9.300,2003,4.49
9.400,1997,3.86
9.500,1991,8.36
9.600,1987,4.41
9.700,1982,3.93
9.800,1976,4.41
9.900,1972,6.97
10.000,1968,3.86
10.100,1964,4.83
10.200,1960,4.94
10.300,1955,4.56
10.400,1950,4.24
10.500,1945,4.46
10.600,1942,3.54
10.700,1939,4.31
10.800,1935,4.25
10.900,1932,5.04
11.000,1929,4.37
11.100,1925,4.60
11.200,1921,4.43
11.300,1917,4.13
11.400,1914,3.68
11.500,1911,4.24
11.600,1907,4.55
11.700,1904,5.16
11.800,1900,4.50
11.900,1897,4.53
12.000,1895,4.17
12.100,1891,3.84
12.200,1889,3.67
12.300,1886,4.31
12.400,1883,4.72
12.500,1881,4.29
12.600,1879,4.18
12.700,1876,3.61
12.800,1874,4.24
12.900,1871,4.09
13.000,1869,4.39
13.100,1867,4.41
13.200,1864,4.31
13.300,1862,4.48
13.400,1861,4.00
13.500,1857,4.35
13.600,1856,4.53
13.700,1853,4.42
13.800,1851,4.87
13.900,1849,4.25
14.000,1846,4.62
14.100,1844,4.99
14.200,1842,5.28
14.300,1841,4.05
14.400,1838,4.10
14.500,1837,3.94
14.600,1836,4.04
14.700,1834,4.70
14.800,1831,5.24
14.900,1829,5.73
15.000,1828,5.85
15.100,1826,6.05
15.200,1822,5.76
15.300,1821,5.54
15.400,1819,5.67
15.500,1817,6.12
15.600,1814,5.10
15.700,1813,4.12
15.800,1812,4.88
15.900,1810,4.70
16.000,1810,3.85
16.100,1808,3.83
16.200,1806,5.84
16.300,1805,4.12
16.400,1804,4.69
16.500,1803,5.09
16.600,1801,4.76
16.700,1800,4.57
16.800,1799,4.91
16.900,1798,4.13
17.000,1796,5.02
17.100,1795,4.65
17.200,1794,4.97
17.300,1794,5.24
17.400,1791,4.82
17.500,1791,4.74
17.600,1789,4.51
17.700,1787,4.24
17.800,1787,4.82
17.900,1785,3.86
18.000,1785,3.84
18.100,1783,3.61
18.200,1783,3.55
18.300,1782,4.32
18.400,1781,4.57
18.500,1780,4.12
18.600,1779,4.32
18.700,1778,4.16
18.800,1778,3.98
18.900,1777,4.31
19.000,1776,4.53
19.100,1774,4.21
19.200,1774,4.48
19.300,1773,4.17
19.400,1773,4.10
19.500,1772,4.10
19.600,1771,3.86
19.700,1771,6.36
19.800,1769,3.80
19.900,1768,3.90
20.000,1768,4.14
20.100,1768,4.20
20.200,1766,4.28
20.300,1765,4.53
20.400,1765,4.62
20.500,1764,4.24
20.600,1764,5.67
20.700,1762,7.41
20.800,1762,4.53
20.900,1761,3.97
21.000,1761,6.23
21.100,1760,4.30
21.200,1760,3.83
21.300,1758,3.58
21.400,1758,3.17
21.500,1758,4.16
21.600,1757,4.47
21.700,1757,3.49
21.800,1756,4.21
21.900,1755,4.04
22.000,1755,3.94
22.100,1755,4.28
22.200,1754,4.97
22.300,1753,4.26
22.400,1753,4.53
22.500,1752,4.63
22.600,1752,4.58
22.700,1751,4.39
22.800,1751,4.44
22.900,1749,6.91
23.000,1749,6.90
23.100,1750,4.51
23.200,1749,4.71
23.300,1749,4.77
23.400,1749,9.04
23.500,1749,7.13
23.600,1748,4.64
23.700,1746,4.58
23.800,1746,4.43
23.900,1746,4.82
24.000,1746,5.63
24.100,1745,4.50
24.200,1745,4.59
24.300,1744,4.67
24.400,1743,5.93
24.500,1742,5.85
24.600,1742,6.39
24.700,1742,4.75
24.800,1741,4.41
24.900,1740,4.66
25.000,1741,6.06
25.100,1740,5.04
25.200,1740,4.90
25.300,1739,5.75
25.400,1739,4.54
25.500,1738,7.96
