# saved 2026-06-13T19:31:51
# range_label=div2_nocap
# --- characterization sweep ---
# step_mm=0.100  points=1001  avg_samples=200  settle_ms=100
Distance_mm,Reading_mV,SD_mV
28.200,1292,7.52
28.300,1292,6.12
28.400,1292,5.67
28.500,1291,12.63
28.600,1291,10.58
28.700,1291,10.65
28.800,1292,5.73
28.900,1291,5.98
29.000,1291,5.48
29.100,1292,6.29
29.200,1291,11.49
29.300,1292,5.95
29.400,1291,5.39
29.500,1292,5.60
29.600,1292,5.42
29.700,1291,5.74
29.800,1292,7.93
29.900,1292,6.27
30.000,1291,5.72
30.100,1291,8.82
30.200,1291,5.58
30.300,1290,7.23
30.400,1292,6.07
30.500,1291,5.20
30.600,1291,6.72
30.700,1291,6.25
30.800,1291,5.43
30.900,1291,6.04
31.000,1291,7.30
31.100,1290,18.52
31.200,1291,15.27
31.300,1290,5.51
31.400,1291,5.71
31.500,1290,9.16
31.600,1290,7.57
31.700,1291,6.00
31.800,1291,5.25
31.900,1290,6.05
32.000,1291,5.56
32.100,1291,5.78
32.200,1291,7.88
32.300,1290,5.30
32.400,1290,7.98
32.500,1289,17.86
32.600,1291,6.67
32.700,1290,5.39
32.800,1289,6.63
32.900,1290,6.35
33.000,1290,5.48
33.100,1291,6.20
33.200,1291,6.41
33.300,1291,5.73
33.400,1290,6.21
33.500,1290,5.47
33.600,1290,5.73
33.700,1290,5.46
33.800,1289,5.45
33.900,1291,6.17
34.000,1290,5.20
34.100,1290,5.15
34.200,1290,6.26
34.300,1290,6.66
34.400,1289,16.03
34.500,1289,5.27
34.600,1290,5.45
34.700,1289,7.66
34.800,1291,5.78
34.900,1290,7.46
35.000,1290,9.40
35.100,1289,14.60
35.200,1290,5.19
35.300,1290,6.35
35.400,1290,6.59
35.500,1290,5.58
35.600,1289,11.10
35.700,1290,6.20
35.800,1289,4.91
35.900,1290,7.20
36.000,1289,8.69
36.100,1290,5.24
36.200,1290,5.60
36.300,1290,5.92
36.400,1290,5.43
36.500,1290,5.46
36.600,1290,5.53
36.700,1290,6.29
36.800,1290,6.22
36.900,1290,4.97
37.000,1289,10.72
37.100,1289,5.78
37.200,1289,5.45
37.300,1290,6.00
37.400,1290,6.16
37.500,1289,4.83
37.600,1289,10.88
37.700,1291,6.58
37.800,1289,8.30
37.900,1289,7.37
38.000,1290,5.61
38.100,1290,8.93
38.200,1289,5.49
38.300,1290,7.13
38.400,1289,4.96
38.500,1290,5.66
38.600,1289,5.77
38.700,1290,5.45
38.800,1289,12.88
38.900,1289,6.26
39.000,1289,5.12
39.100,1288,5.11
39.200,1289,5.10
39.300,1289,7.31
39.400,1290,9.25
39.500,1289,6.21
39.600,1289,5.13
39.700,1288,4.57
39.800,1289,5.06
39.900,1289,16.62
40.000,1288,4.98
40.100,1289,5.74
40.200,1288,6.62
40.300,1289,6.28
40.400,1289,5.81
40.500,1288,5.40
40.600,1289,5.29
40.700,1289,6.28
40.800,1287,20.58
40.900,1289,5.87
41.000,1289,6.01
41.100,1289,5.19
41.200,1289,5.69
41.300,1288,14.68
41.400,1289,5.21
41.500,1289,6.77
41.600,1289,5.70
41.700,1289,5.18
41.800,1289,7.71
41.900,1289,5.11
42.000,1289,5.33
42.100,1289,5.47
42.200,1289,5.43
42.300,1288,13.99
42.400,1288,9.40
42.500,1289,5.19
42.600,1289,13.42
42.700,1289,6.77
42.800,1289,6.21
42.900,1289,5.34
43.000,1288,5.69
43.100,1288,8.52
43.200,1287,7.92
43.300,1289,5.63
43.400,1288,5.39
43.500,1287,8.79
43.600,1289,5.34
43.700,1288,5.47
43.800,1288,4.95
43.900,1289,7.43
44.000,1288,8.94
44.100,1288,5.21
44.200,1288,5.63
44.300,1289,5.16
44.400,1287,6.82
44.500,1288,6.77
44.600,1288,4.96
44.700,1289,6.01
44.800,1288,5.79
44.900,1289,5.57
45.000,1288,7.19
45.100,1289,5.03
45.200,1287,16.00
45.300,1288,5.80
45.400,1288,5.11
45.500,1288,5.46
45.600,1289,5.91
45.700,1290,5.46
45.800,1287,9.46
45.900,1288,7.69
46.000,1288,5.15
46.100,1288,5.21
46.200,1287,7.82
46.300,1289,5.41
46.400,1288,8.88
46.500,1288,4.96
46.600,1288,5.44
46.700,1289,5.26
46.800,1288,7.10
46.900,1288,6.39
47.000,1288,5.27
47.100,1289,5.92
47.200,1288,10.34
47.300,1288,5.58
47.400,1288,5.02
47.500,1288,7.54
47.600,1288,5.33
47.700,1289,6.35
47.800,1288,5.57
47.900,1288,4.89
48.000,1287,8.06
48.100,1289,5.20
48.200,1289,11.09
48.300,1288,10.40
48.400,1288,5.66
48.500,1286,14.81
48.600,1288,5.19
48.700,1288,5.58
48.800,1287,5.60
48.900,1288,5.52
49.000,1287,10.86
49.100,1287,6.27
49.200,1287,6.27
49.300,1288,5.30
49.400,1287,6.89
49.500,1289,6.34
49.600,1288,5.03
49.700,1287,19.03
49.800,1287,20.24
49.900,1288,6.08
50.000,1287,6.81
50.100,1288,5.61
50.200,1287,6.21
50.300,1288,5.32
50.400,1288,6.56
50.500,1288,6.67
50.600,1287,5.63
50.700,1289,5.49
50.800,1288,5.57
50.900,1288,5.20
51.000,1288,7.37
51.100,1289,5.92
51.200,1288,5.12
51.300,1288,4.92
51.400,1288,4.97
51.500,1288,5.35
51.600,1288,5.19
51.700,1288,5.60
51.800,1289,5.21
51.900,1287,5.91
52.000,1289,10.52
52.100,1289,4.63
52.200,1288,7.47
52.300,1288,6.04
52.400,1287,11.41
52.500,1288,14.27
52.600,1288,5.28
52.700,1289,7.14
52.800,1288,4.89
52.900,1288,5.26
53.000,1288,5.20
53.100,1287,14.95
53.200,1288,5.85
53.300,1288,6.19
53.400,1287,10.95
53.500,1288,11.36
53.600,1288,5.27
53.700,1288,5.32
53.800,1288,5.34
53.900,1288,5.03
54.000,1289,5.34
54.100,1289,5.37
54.200,1288,5.02
54.300,1288,5.31
54.400,1288,5.63
54.500,1289,5.09
54.600,1289,7.18
54.700,1288,4.88
54.800,1288,7.50
54.900,1286,14.77
55.000,1287,19.43
55.100,1289,4.77
55.200,1289,8.63
55.300,1288,5.13
55.400,1288,5.25
55.500,1289,6.73
55.600,1287,5.86
55.700,1288,5.45
55.800,1287,6.33
55.900,1287,6.62
56.000,1287,12.05
56.100,1288,5.54
56.200,1288,5.44
56.300,1287,5.40
56.400,1288,5.63
56.500,1288,5.25
56.600,1287,7.10
56.700,1288,5.70
56.800,1288,5.42
56.900,1287,5.02
57.000,1287,21.20
57.100,1287,5.18
57.200,1289,6.85
57.300,1287,8.23
57.400,1288,5.65
57.500,1288,6.21
